Unnamed: 0,Model,rating,title,review_text
0,Oneplus 11,5.0 out of 5 stars,"5.0 out of 5 stars
Beast (best) phone at this price with well thought compromises
","
Been using OnePlus 11 for about a week now and at this price range there's no phone right now which can be considered as an overall package.Pros -Extraordinary battery life and even better 100W charging. You'll always appreciate how this makes your life easier when you know you can get your phone charged to 50% in 10 minutes.I don't think I need to review the SoC which is 8gen2. It's not about how super powerful it is but how good it works in terms of efficiency and heating. Though it is start of summer only, I haven't felt gte phone heating up even once. It's like these two problems which ruined last two years Android scene are non existent this time.Display is quite capable with Dolby vision and Dolby Atmos tech, the viewing experience is as immersive as it gets at this price or may be higher.Haptics are awesome, you don't see (feel) haptics as good as this except iphones or pixels.Color OS inspired Oxygen OS is quite good and if we ignore some bugs highlighted by MKBHD. I moved from OnePlus 6 which was maybe pinnacle of OnePlus and Oxygen OS to this and I feel like it's an upgrade.4 years of OS updates and 5 years of security updates. Their updates are not as frequent and useful as Google but this adds to phone's overall life. You can at least get it repaired and have parts replaced in this window. I couldn't get power button replaced on my old OP6 because it was out of support.Camera is decent. It is actually competing with Samsung and iPhones and beating them in low light shots. This is change as OnePlus cameras used to be B+ which is now A- with other flagships at A+ but they also don't come this cheap except pixel. One disappointment is front facing camera. DO NOT BUY THIS PHONE IF YOU'RE A SELFIE LOVER and don't like Vivo and Oppo approach of making your skin look smooth and brighter. Front video is also called at 1080p which is a shame. Should have been 4k30 at least.Cons - as said earlier, there are some annoying bugs/features in UI which can be easily fixed through a small update.Display is not brighter indoor as iphones and Samsung ultras but you won't feel if you haven't seen those.One very apparent disadvantage vis a vis S23 is lack of Wireless charging and IP rating. These are compromises which I think ok to not have if we are getting quad HD display at this price. Although I would have preferred reverse wireless charging so I could charge my earbuds on the go.And last, the most beautiful thing about his phone is it comes with charger and screen guard and a phone case in the box. Appreciate this when trillion dollar companies like Google and Apple don't provide this despite charging more than 1 lakh.I hope you find this helpful. I was criticizing OnePlus and Qualcomm heavily for past two years on all platforms but this is the year they have turned it around.
"
1,Oneplus 11,5.0 out of 5 stars,"5.0 out of 5 stars
Good phone and definite flag ship killer
","
I bought this after lots of research. Green line issue was holding me back, but OnePlus is now providing life time screen warranty(*conditions ), but a positive move to build trust of customers.Pros:Primary camera is great.2x zoomGood portrait photosSnapdragon 8 gen 2 handles tasks smoothly16gb ram, 256gb (usb 4.1) , 4 years android update and 5 years security update makes the configuration  future proofBattery easily last a day , 20% battery left with a screen on time of min 6hrsCharging speed is awesome, in 20 mins you hit 100%.Many useful hidden and cool features : draw V shape pattern on lock screen to turn on torch, draw O shape pattern on lock screen to launch camera, raise hand for selfie photoCons:Minor bugs in android auto. It gets disconnected (some times after 20mts) and I need to reconnect.Gets heated during charging( manageable as it is kind of expected when u charge with 100W charger).Selfie camera is just 16mp, it's a main draw backWill keep the review updated after more usage.
"
2,Oneplus 11,4.0 out of 5 stars,"4.0 out of 5 stars
Beast
","
As a OnePlus family member I just upgraded from my OnePlus 7 to OnePlus 11.Pros:1) Screen quality: Looks and colours are awesome.2)Fast charging3)Long lasting battery: After heavy usage I will get 6.5-7 hrs of screen on time.4) camera: Th portrait shots looks awesome. Front camera is average.5) OnePlus UI: Easy to handle, since got used to it from past 4years.6) performance: As of now no lags observed during BGMI or day to day tasks.Cons:1) At this price range if they would have given IP68 water resistant it would have been great.2) Slightly heats up after continuous usage.3) very few times UI doesn't respond very quickly like how it does it in normal times.4) poor call quality, I'm facing regular call disconnects. Not sure it's mobile or network problem.Finally after exchanging my OnePlus 7 after using for 4 years upgraded to this. Hoping for another long-lasting performance from OnePlus.
"
3,Oneplus 11,5.0 out of 5 stars,"5.0 out of 5 stars
its not a bad phone, its not perfect either.
","
so before i start, I've been using Samsung phones for the past 8 or 9 years. I already like the one UI and the perks that come with it. Now i booked S23 and then realized the fact that it is a bad deal for a phone that was already worth a lot of money. Now I' not saying this phone is also worth your hard earned  money. this has its flaws and a lot of people here have already pointed out many of it . Yes the camera processing sucks(sometimes), yes the video quality is meh(compared to other flagships), yes it sucks not to have wireless charging and many flaws follow the suit.The unit i received is working absolutely fine and has no heating issues or jittering or any thing else(physically and software wise my unit is fine till now). The phone takes just  25 mins to get to 90-100% from 20-25% charge. The screen is an E4 panel but its is damn good. The battery life (until and unless u push it really hard) is absolute top tier. I'm a person who attends office meetings through phone most of the times. this thing has an solid battery life that will last u a day and then some. The in-hand feel is good but you really have to be careful as it has a glass back that has ZERO grip. The sound is really good (quality is ok, bass is meh, loudness is 11/10) and it actually feels like stereo speakers.Now if u ask me if this phone is worth 60000, it is not. PERIOD. And u shouldn't buy 8GB version as it is a even worse deal. You can buy iPhone 13,14 or S23 if u have good exchange offer.(but then u'll have to buy a charger, back cover... all extra which i don't appreciate).I would recommend this if u have money to spend, else U can buy 11R which is actually a steal for that price. I gave 5 stars becoz the phone thts in my hands is perfectly working and is of great use to me. it hasn't shown any glitches or software issues either (no hardware issues too). i just hope this thing lasts for a couple of years and it doesn't turn to a sucker with updates coming.
"
4,Oneplus 11,5.0 out of 5 stars,"5.0 out of 5 stars
Pretty good
","
Operating system -Coming to OxygenOS from MIUI, it is a pretty good switch. I have never used OxygenOS or ColorOS so I am not the best person to tell you whether this thing has been downgraded from previous versions or not but in my personal experience, the UI experience has been super clean, no bloatwares, a lot of good tutorials spread throughout the UI to help me understand the OS which was also good. Haptic feedback is also very good, I had not realised how much a good haptic feedback can improve the overall experience until now. There were couple bugs which were super minor. But overall it's a pretty solid and minimalistic software experience!There are the multitasking features which allow you to use multiple apps at once and it is super convenient. On landscape mode the notification panel changes to better fit the orientation. There are just small quality of life things in this software which I really love and find useful.One thing I despise about the software is the individual notifications, it is super annoying, you cannot expand the notification by swiping, you need to click the notification to expand it, then click it again to open the application. I hope OnePlus fixes this or at least adds a toggle to change the behaviour.Cameras -I am not a big camera enthusiast, but I can pretty much tell that the cameras on these probably cannot keep up with Google, Samsung or Apple's offerings in this price range. It's still pretty decent and in 2-3 shots you get the product you want and shutter speed is also decent. Overall it's good enough for a casual user.Screen -It's good. I don't have much else to say in this department.Battery Life -Lasts me about a full day on moderate usage on pretty high brightness and on 1440p. But what is exceptionally better for me is the charging speed. I just plug it in and in about 20 minutes I got a full battery, it doesn't heat a lot either which tells me battery health will probably be good for longer.Performance -It's really good on casual usage. I am not too sure about gaming though, I am not a heavy mobile gamer, I prefer my laptop over mobile for gaming, just going off the online reviews, this is probably not the best mobile for gaming.Design -It's good enough for casual users. Camera bump was slightly annoying at first but I got used to it. I am not a big fan of glass backs so I am glad this came with a case which is also really grippy and good enough for most people. Alert slider was something I didn't know I needed, it's a really good feature.Sound -It's good. Again, not much I can say here.Overall if you are a casual user who wants a well rounded phone for day to day use, this is a pretty solid option for an android phone.
"
5,Oneplus 11,1.0 out of 5 stars,"1.0 out of 5 stars
WHAT A SHOCKER OF A LET DOWN!
","
In the family, we had several OnePlus devices, from the earlier ones to the 7 Pro and the 7T.When the company started losing its bearings and direction and moved off from its ""flagship killer"" tagline, we knew that something was going wrong.  Also, it lost its market share in India, indicating something was amiss.We moved on to phones like the Huawei (still an excellent phone and waiting for the next pro release) and the Apple Series, from the 10, 13, 14 Pro Max, and the Samsung s22 Ultra.  These are highly impressive phones.When the OnePlus was re-launched, with all the Hasselblad stuff and having attended the live launch online, I thought the company was back on track.  Many reviewers spoke/wrote about the speed processor, the refresh rate, and all the hype around the ""back on track"" phone - I decided to go for it.  At 62,000/- for the 16 GB and 256, I was excited about the prospect of a high-end phone.The first letdown was the horrific camera picture quality. All the phones mentioned earlier far exceed the low-level picture quality of this one. All pictures were lifeless, duds, even in outdoor conditions, and indoors was even worst.  I wonder what Hasselblad's role in all this horrible photo quality is.Many functions were hit-and-miss.  Every time I made a Reel on Instagram with about 25 photos, the App would crash.  It never happened in any other phones I had. Something with hardware or IG, I wouldn't know, but it never happened before.The apps opened fast.  The smoothness was fluidic.  But the colour options, Vivid, Natural, and Pro, were all weird.  Photos downloaded from Cloud, clicked on other phones, looked so different.  But something was lacking; character. I didn't seem to have any feeling of attachment to the product in hand.The slimness was excellent compared to my S22Ultra, and the features were okay.  It looked premium and felt so.  The best battery life. The best charging speed. So many things were good, but...I went back to all the professional reviews in Magazines and online. Many said, ""will it sell"" and ""did it miss a trick"" and the height of everyone's remarks was Peter Lau (the founder of One Plus, but now with his company Nothing), who said, ""It lacks identity"".  That hit the nail right on the head.  An Apple has its identity.  Samsung has its signature.  My friend who owns the Nothing 1 is highly impressed with the natural skin tones of the pictures clicked (no added spice).THE ONEPLUS 11 HAS NO IDENTITY AT ALL.  IT IS A ""NOTHING HERE, NO THING THERE"" phone.Will it be able to correct its plethora of flaws with future updates?  Or the wrong idea of a camera that went completely wrong, with poor quality results?On a closer look at the picture quality, I saw that it was more of the Oppo type of result.  The skins look plasticy.  Men's skins look makeup-ed.  These were the traits of these early Oppo phones, and people (especially girls) liked the smoothest looks, like baby dolls.Many things are not right with this phone, in spite and despite the latest processor, high Ram and everything else supposedly good.Since there was no return option, and the exchange date was at hand, I thought, I would keep it and give it away to someone not so discerning and would overlook the camera's poor quality.It's gone from me, and no regrets.Will I go the OnePlus route again?  I don't think I want an Oppo Phone.  The good old OnePlus is dead and gone.______________I hope discerning readers will understand what I have said, albeit there may be many positive reviews about this phone.  It's nothing personal towards, OnePlus, but my experience with the OnePlus 11 5G has been a severe letdown.
"
6,Oneplus 11,5.0 out of 5 stars,"5.0 out of 5 stars
Can go toe to toe with the best of the best!
","
I'm writing this review after 7 months of usage.Good things:1. Superb 2k 120hz display with additional HD features. Great for watching content.2. Strong audio both with and without earphones.3. Great primary and portrait lenses in the back camera setup - good in low light too.4. Next level charging experience.5. Good battery with 5-8hrs of SOT.6. Sleek design with rounded corners.7. Having 16GB RAM is ridiculous. Never gets slow.8. Regular OS and security updates so far.9. Very very few glitches - a truly flagship experience.Things that could be better:1. Front camera - good photos but bad HDR in videos and video calls.2. Display is not as bright compared to other 2023 phones.3. Shutter lag.4. Camera consistency could be improved. The post-processing of images gets skipped like 20% of the time.5. Shooting videos could be improved. Noise reduction is almost non existent. Night mode gives usable results in only AI mode in 30fps.
"
7,Oneplus 11,5.0 out of 5 stars,"5.0 out of 5 stars
So far so good
","
It's second day and it looks very satisfying. I had OnePlus 10T that I exchanged for OnePlus 11 at around 30K. You can do it through OnePlus site also with slightly better deal but mobile would come after a week by Blu Dart slow system.All good so far. I was apprehensive as I had OnePlus 10T only over a year but then took a call for OnePlus 11 as I found my 7T was better than 10T, which itself is good but not the top notch.So far so good. I was not sure that I would get delivery on same day as the item didn't move in the tracking and called customer care. The Amazon customer care is just amazing. Not only I got the item but delivery person delivered it at 10.35 night.I hv been an Amazon loyalist for their sheer professionalism that is not even 25% in Indian e commerce or online shopping.Adding after 2 months that OnePlus 11 is working exceptionally well. Smooth interface, fast speed, decent camera and satisfying battery life that easily last a day. Very nice curvy feel that makes navigation super cool. Though it's 204 g but feel not too heavy in hand and is better than my previous 10T. Brightness is too good but contrast and sharpness could have been better with increased brightness. I liked it more than 10T for sure.
"
8,Oneplus 11,4.0 out of 5 stars,"4.0 out of 5 stars
Love the Phone and it's quirky Features| Hate the Android Stock apps
","
Everything is great, don't waste money going for 12, it's more than enough. Remember no Storage Expansion slot so use your space wisely. Overall it's a great phone.Hate the stock android mix.• E.g No speed dialing, can't mark all sms (have to manual select each text to delete)• Button placement for volume is low• You may need an additional Glass protection for the Camera bump• included phone Case is pathetic and low effort
"
9,Oneplus 11,4.0 out of 5 stars,"4.0 out of 5 stars
Powerpacked device and great camera quality
","
I bought oneplus11 256GB variant black colour.Really great performance. I have used it for 6 months never found any lag while clicking pictures, videos, watching movie and gaming.Doing all this it can easily last for 1 day. And even the charging speed is really great, you can keep it for 15mins and it can work for all day with limited usage.Camera quality is really is excellent, it process the pictures in such a way that it looks like a DSLR professional shot.The back of black variant is really soft to touch. The picture is having a cover on it.No delay in fingerprint scanning, never found any issue.If you are confused b/w OnePlus 12 and 11, I would suggest you go for 11 bcz it's almost similar. But if you are someone who wants to use latest tech then go for 12 and if you are getting heavy discount on 12 and price point is just showing 2-3k difference then go for 12.But I would recommend you to go for 256gb variant, I feel that 128gb will be consumed in few months if you are not using cloud storage.I bought OnePlus 11 with OnePlus buds 2 offer so got the deal at great price.
"
