Unnamed: 0,Model,rating,title,review_text
0,Samsung s20,5.0 out of 5 stars,"5.0 out of 5 stars
S20- Better than Ultra!!
","
I'm coming from  S8. I didn't have any issues with the phone after three years, but dropped it and it wasn't worth replacing the screen vs finally upgrading. While slightly taller, this phone is very similar in size and use to that phone. The processor is blazing fast and it can handle anything I throw at it. Smart Switch by Samsung made transferring everything over to this phone incredibly easy. Samsung's UI is incredibly flexible and allows a lot of customization. The screen on this thing is beautiful and I like that they toned down the useless curved side screens. The centered hole punch on the front is great and much better than the S10. I also am in love with the 120hz refresh rate. I have always dropped my resolution down to 1080 anyway and with Samsung's incredible Amoled displays, you won't notice the difference in resolution. However, you will absolutely notice the 120hz refresh rate. After using it, you will never want a phone without it. The camera has been great. Honestly, most flagship phones have gotten so good that only the tech obsessed will notice the minor benefits and differences. This thing just works without doing anything to the settings. It takes great pictures in virtually every scenario, including night time. Regarding all the complaints, let's address those. First, I hate Verizon Wireless and all the bloatware and quirky things they CONSTANTLY do. However, their service in my area is superior so I like many use them. While it is disappointing that EVERY other carrier was able to get 12GB RAM and a microsd, Verizon claims it was to incorporate their supposedly better 5G. Well, in general, that's a stupid reason, and based on Verizon's track record, one that I don't believe at all. It is more likely that it is a cost saving measure. However, these phones are selling  lately and that makes the 8GB of RAM much more tolerable. You have all the tech you need from the bigger sibling at a fraction of the price in a more pocketable form factor, which is important to me (I prefer smaller phones). You get a top of the line flagship screen, camera, and processor. And unlike phones in the ""mid tier"" price range, this thing comes with 8GB instead of 4GB. I honestly wish the 5G wasn't a factor because it barely exists anywhere and won't be something I pay extra to take advantage of. But for the regular user, you won't notice the lack of RAM. The memory expansion is a little disappointing, but the 128GB of storage that it comes with in base model is plenty for most. In general, this is a fantastic phone that is selling for a great price. Yes, Verizon sucks, but the phone is still great and only the hyper sensitive techies will care at all about the concessions. You most likely won't notice any of the trade-offs in day to day use.
"
1,Samsung s20,1.0 out of 5 stars,"1.0 out of 5 stars
Nothing could be worst experience than this.
","
Nothing could be worst experience than this. Here is the thing - camera and build quality is wonderful, 120hz refresh rate and display is great. But it is a heater.Continuous use of camera or video heats it like nothing. It gives feeling that you hold it for few more minutes it will burn your fingers and palm.Strong no for this. You know Samsung does not give Snapdragon chip in India with this phone rather it is ""Exynos"" which is an inefficient chip and heats up the phone.No value for money, I thought heating problem will solve after few updates but no. It's a nightmare. Don't buy this.
"
2,Samsung s20,5.0 out of 5 stars,"5.0 out of 5 stars
Gorgeous & ergonomic form, strong build, brilliant display and a super-fluid operating system
","
When you take a S20 into your hand, it is basically a glass slab held by a metal frame. S20 is light, feels solid, dense and the grip feels comfortable for one hand use. I don't really fear that I might drop it & that's mainly because of its narrow form. When you wake the S20, the glass slab comes to life. Put your favourite pic on as wallpaper and see it come to life! Things move so so so smoothly on the screen thanks to it's amazing 120hz display. The fluidity feels unreal & soothing. Using gestures to move around on this phone is a delightful experience. Phone never gets slow, never stutters as it is pretty heavily loaded with memory & processing power. The camera is amazing and helps a novice photographer like myself take some pretty good shots for others to awe & wonder! (I have put some photos) Tons & tons of features in the phone, some of which I found pretty useful like screen recorder, bixby routines etc. Operating system is really really top notch. It's one of the best systems I have used (including iOS). Battery is decent, nothing extraordinary but they have a super useful MAXIMUM power saving mode to compensate. Charging is pretty fast but not as good as Dash charging.Gorgeous & ergonomic form, strong build, brilliant display and a super-fluid operating system makes S20 one of the best gadgets I have used alongside my 15 inch mac. You pay for the best experience & you get the best. There is nothing better out there as of now! 4 months with this phone & loving it every minute!
"
3,Samsung s20,4.0 out of 5 stars,"4.0 out of 5 stars
Good camera phone with average features at premium price
","
Review after 1.5 months of use. Body and look wise, it's fabulous. Easy to hold in hand. Battery life is average and requires you to charge your phone again if you are a video or game lover. I didn't liked the finger sensor at all. It's not smooth. I need to press harder to unlock my phone. Many time, it rejects. I liked the camera quality. You will love it. I also observed phone reboot multiple times with no reason. Also observed that phone automatically sends the error report to their site for unexpected reboot. Now a days, I am observing some lag in its performance. I would give rating as 3.5 with these pros and cons for a flagship phone that comes at such a premium price. Samsung also offered clear view cover offer for some selected customers but Amazon didn't provide this information in product description.
"
4,Samsung s20,3.0 out of 5 stars,"3.0 out of 5 stars
Review After 4 Days.
","
I bought My S20 Last week its been 4 day I am using this phone. The main problem with this phone is heating issue. If you are a gamer plz don't go for it. Phone get heated while playing games. Battery life is very less. Its a high-end mobile from Samsung but they are not considering 2 main USP of mobile phones battery and heat. Fingerprint reader is worse. After 2,3 attempts you can unlock the phone.Good things  its fast, smooth, compact, looks premium, Camera is wow.This is my 1st Samsung  phone lets see what else in it.
"
5,Samsung s20,5.0 out of 5 stars,"5.0 out of 5 stars
Powerpacked: everything is just about perfect.
","
*Reviewing after using it for 5 days*I had ditched Samsung after S2 and joined back with this beauty S20.If you are looking for right sized, compact yet as powerful phone, go for it. I myself  was confused  between S20 and S20+ but now very happy to opt S20. It reminds me of S2.Firstly I didn't want a Chinese phone so don't want to compare it with any of those. No compromise with security.I got it for 67k after discount. Color: cosmic gray.Box contents:1. Phone with scratch guard applied2. AKG type C earphones (they are good)3. Power adapter (super fast charging takes about 1.5 hours to fully charge the phone)4. Transparent case (which I didn't know and ordered Spiegen one as well)Pros:1. Camera: its amazing,  check out my Instagram page to see samples @the_real_hrgarage. Front camera  is good too, don't be skeptical about megapixels2. Display: the best that you get. 120 Hz takes you out of the world, however 60 Hz is butter smooth too. If you are fan of larger screens, go for S20+.3. Performance: no lag whatsoever even in bigger games4. Form factor: Perfectly proportioned and solid.5. Sleek design: just about right. Easy to handle with single hand and no worry of slipping out of hand.6. Edge display: love those notifications when screen glows around the edges7. One UI 2.0 doesn't disappoint infact it's much better and more customizable. I don't miss stock Android which I feared the most. I haven't  started using Bixby apart from it's routines so not much to add there.8. Water and dust resistant: must of an expensive phone.Cons:1. Gets heated but I think that  comes with the performance.2. Battery could have been better but nevermind we get super fast charging.3. Fingers print sensor: Sometimes asks you to press harder but you will get used to.To summarize, if you're like me, don't want to go Chinese brand and neither want to switch to an iPhone then S20 series is the way to go. It's premium, powerful and best of the class.
"
6,Samsung s20,1.0 out of 5 stars,"1.0 out of 5 stars
Damaged product
","
Its damaged even before using....kindly cancel and refund the money
"
7,Samsung s20,5.0 out of 5 stars,"5.0 out of 5 stars
Masterpiece Galaxy S 20
","
This is my first premium phone and I am in Love with this.Pros:1- Display is out of the world you will not get this type of Display in any smartphone or TV. Samsung has done g8 job here.2- RAM management is good apps runs in background for long duration you don't need to reload again...3- Camera is doing decent job it is Good but not compare to Huawei P30 or or Pixel-4 but after those this will come better than iPhone 11 series in many scenarios. Front camera is Good takes good selfies. Rear camera has some good features this time like Single take..which is best feature so far.4- Speakers are loaud, Clear and crisp..5- Design is handy best Size for smartphone I love that on holding 😛Cons: Battery is draining quick but it is because of software issues which Samsung is going to Fix soon. Right now you need to change the phone in morning and evening/night if you are avg use.All sensors and software are pre-installed.My final recommendations are Go for this...you will love this..
"
8,Samsung s20,3.0 out of 5 stars,"3.0 out of 5 stars
It is a huge downgrade when compared to 865 variant - Edit - some improvements
","
So earlier samsung used to produce phones with exynos and snapdragon variants which were very similar in performance. However, this year the performance difference is huge the phone is about 20% slower and that is not even my main gripe.What makes is far worse is the battery runs down far quicker despite it being the slower variant, the phone heats up far quicker, it throttles and slows down even in video calls.The touted 120 hz refresh rate even switches back to 60 when the phone gets hot and that happens way too often on this variant. Even the camera quality is worse.So to sum it up-1. Bad performance  when compared to the other variant2. Bad battery life3. Bad photos4. Over heats-------------------------Edit - Writing this part on 11th April approx 1 month using the device. The battery has somehow gotten better and can last a day now quite easily. I had to reset the phone. The overheating issue also seems to have gotten better. Increasing a star but it still has those problems
"
9,Samsung s20,5.0 out of 5 stars,"5.0 out of 5 stars
Read this review before you buy.
","
First of all Delivery was really fast by amazon as always.*This review is going to be lengthy*I have been reading reviews here that how bad exynos processor is compared to snapdragon 865 but in my opinion the performance difference is minor. I saw a lot of reviews online and read multiple threads about this and everything was against exynos processor. I had to give a second thought on should I purchase this phone or not. But I purchased it a week ago and I'm really glad I did.People are testing games on this device and then complaining about battery life and the phone getting hot but I think there are a lot of phones out there to game on because to be honest not every PC or Laptop can run heavy games you have to buy a dedicated machine to play games on. Similarly this phone is not meant for gaming only. I know you're spending thousands on this device but if you want to game trust me this device isn't for you just go for asus rog phone if you want to play games. In my case I am getting around 5 hours of screen on time and the phone gets hot occasionally like while updating or charging and I have an iPhone X too which also gets hot while doing the same things so it's not a big deal. Finger print sensor is okay don't expect it to work same as physical finger print sensor.Camera quality is really good it can capture 8k videos and those look really sharp.The new UI (user interface) update ONE UI 2.1 combined with 120hz display on this device makes opening menus and closing apps buttery smooth.Samsung is known for it's displays but this display is incredibly sharp and vibrant.No headphone jack? Ya right there is no headphone jack in this device so better go for wireless earphones.Overall this phone is really awesome go for it. Plus this phone looks & feels really great in the hand I got a lot of compliments from people that it looks really beautiful and they also want a phone like this one.
"
