Unnamed: 0.1,Unnamed: 0,rating,title,review_text,model
0.0,0,5.0 out of 5 stars,"5.0 out of 5 stars
The best iPhone - perfect combination of features!
","
This is my first iPhone. After being an Android enthusiast and loyalist for over a decade, poor Pixel design and besting camera of iPhone 11 made me switch to the walled garden. Coming from Samsung Galaxy S7 Edge I had my doubts on the LCD screen and low resolution, but believe me my doubts were unfounded. The screen on iPhone 11 is crisp and clear, with good color accuracy and balanced punch. I did a lot research comparing iPhone 11, the pro and max models as well, along with Note 10 and OnePlus 7T Pro. Comparing them side by side, iPhone 11 always came out on top in camera department - the most important criteria for me (which had made me choose S7 years ago). I also looked at iPhone XR, but the 11 offers substantial updates over XR.-----------------------************------------------------Here are the pros from the last few days of usage:1) Excellent battery life - I consistently end my day at 40+ %. All while I am still exploring the phone (and hence using it more).2) Dual camera system - the normal iPhone 11 makes the perfect compromise from the pro models - retaining the same primary sensor and wide angle sensor - I can live without the telephoto. Essentially the same quality as the pro. Pictures are true to life, accurate in color and great HDR. Low light performance is again top notch.3) A13 bionic and butter smooth experience. Never experienced lag free ui before - even 12GB RAM model Note 10 stuttered when testing.4) Promise of timely updates, straight from Apple. No OEM BS. This is an underrated and misunderstood parameter. I am paying comparable money for Android phones and getting latest OS after 6+ months and that too for only 2 years (followed by 1 year of security updates). Apple's promise of 5 year updates is reassuring - with increasing use of financial transactions on mobile getting security releases and bug fixes on day of release is critical.5) Build quality and design are unparalleled. Love the design - grows on you. Apple is a premium brand and you can feel the attention to detail in alignment of ports, ui elements, the milled camera cutout, etc.6) Gestures - Android does a piss poor job of this. Samsung's dumb implementation on Note 10 killed it for me. I don't need a split pill for the sake of it and call it Gestures. iOS does it so much better and in an intuitive style. I wonder how I was using my phone in now what feels like an archaic way through back button (and pixel's implementation is pathetic and confusing).7) Face ID is way more convenient that fingerprint and security unmatched on Android. I don't need to fiddle any more with my fingers to unlock and then navigate the phone. Seems Face ID and Gesture navigation complement each other to make a powerful and smooth user experience. I can navigate the phone instantly so my hands dont need to first fiddle with a fingerprint scanner and then shift the hold and focus to navigation. It's these small things that makes Apple what it is - a pleasurable experience.------------------------***********-----------------------Cons:1) LCD - The phone's biggest weakness is the screen. Don't get me wrong its an excellent LCD, only marred by lack of true blacks. Even then I am using the dark mode coz I like it.2) Photos app froze once for me when trying to share a large number of live photos on Whatsapp. Had to restart the phone to solve the issue. Hope this was an one off error.3) 5W charger - at this price it's fair to expect a fast charger, given the phone is capable of fast charging.4) Few apps that were free on Android are paid on iOS. I was surprised to find this. Nonetheless I bought the app as it was critical for me (didn't want to lose years of data from Android).5) Default zoom and text size make it difficult to read the text. Increasing either makes the screen seem less sharp.6) 3rd party keyboard - cannot be used in some apps. Only the pre-installed Apple keyboard shows up (maybe some security reason). This leads to poor trying experience. E.g. in the Outlook app SwiftKey never shows up. Can't get my head around this, as this breaks an otherwise smooth experience.--------------------************----------------------Final words - go for iPhone if you can afford it. Comparable Android flagships are way behind as an experience and complete package.***************************************Love the black color.***************************************Fun fact - tempered glass and case ordered an hour the phone were delivered the next morning and the phone was delivered late in the evening after continued follow up with customer care.
",Apple iPhone 11
1.0,1,5.0 out of 5 stars,"5.0 out of 5 stars
Coming from Androids planning to stay.
","
Been a few weeks since I got the phone, coming from a Galaxy S10, only reason I had to switch was giving my phone away to someone else in the family, and every other Androids gotten awfully boring decided to give iPhones a shot after a long time and I don't think I will be switching back any time soon. If you come from a similar android flagship there are a few things you need to get used to, in terms of the software its snappy not as fast as some androids but it feels smooth and has a flow to it.Display is where you might get disappointed with but don't worry its not as bad as they say, its bright its got ample clarity and if you pixel peep you will see a few pixels here and there but nothing that will disappoint you but its brighter for some reason iOS has a very clean color palette which gives it a nice vibrant interface, watching video is alright but you will sure miss the deep blacks if you come from OLED but the dolby vision certification sure makes up for it.Battery is downright impressive I can go through a whole day without putting it on charge and still finish with more than 40 percent juice left and I often get close to 9 hours average in screen on time as well I even left the phone unattended for 8 hours and it only drained one percent and still went through the whole day without a hiccup.Camera is one of the best at what it does though Pixels and Galaxies might take slightly better pictures but if you use Instagram or Snapchat a lot this phone will do wonders for you miles ahead of any other android in terms of social media performance.There is a certain heft to the phone the S10 feels like paper and walking or holding this phone feels like a chore if you also have one of those fat spigen cases on but you will get used to it. I will suggest you put a case on this bad boy as it does tend to get scuffed around the edges my friends iPhone had the same problem.I dont have an Apple Ecosystem per se, but i got Airplay on my TV so I can stream my Apple Music library to it and play it over the sound system you can also do spotify.For someone who is coming from Android since a long time this phone is the cake, absolutely delight to use small things do make a difference and also no auxiliary or usb c so carry around a spare lighting cable around with you and also charging by default is at 5 watts you could use a fast charger to get it upto 18, though I havent found the charging slow maybe because I dont use it while it does charge.The notch is there but most of the action happens below it so its fine and you will start to ignore it after an hour.PS: lot of negative reviews for the seller but what I got was a phone fresh from the factory in her wraps and only had one wifi calling glitch which was my fault apart from that the phones been absolutely stellar and Amazons been great delivering it in the pandemic too
",Apple iPhone 11
2.0,2,4.0 out of 5 stars,"4.0 out of 5 stars
iPhone 11 review
","
iPhone11 Review A person who uses every major application of a phone such as a camera, notes, gaming, binge-watching, and also wants his phone to run smoothly for at least 3-5 years may go for iPhone11. According to my experience, I would suggest the iPhone11 as the best choice because I’ve been using Android for the last 5 years and the issue which I was facing with my phone was, it started to hang within 2-3 years of its purchase. It also began to overheat if I would continuously use its activities such as watching videos or playing games. Besides, the major issue with an android phone is privacy. It requires that data on mobile devices has to be transmitted to Google servers, which is used for targeted advertising. This makes Android a less private mobile operating system. I remember that whenever I used to search for a product on the Amazon app, my phone was flooded with ads of the searched product. So, to get rid of all of the above issues I  thought to give a try to the iOS operating system instead of buying another Android phone. Apple is committed to its customer privacy, and their phones also come with a powerful CPU(Central Processing Unit) which makes them compatible to do with multitasking for a long duration without facing any problem. Among all the iPhone models, I found iPhone11 budget-friendly. Being the latest model it covered various shortcomings of old models. It has better performance, great durability, a dual-camera system, and many other features.  One of the most important reasons why I chose the iPhone11 over former iPhones is that it comes with an A13 Bionic chip and is the fastest CPU ever in a smartphone which falls under the price range of this phone. With this powerful beast, I can perform various multitasking without experiencing any lag. It also has the best GPU(Graphical Processing Unit) which allows you to watch videos at their highest graphics. I remember when I used to play games on my old phone it suddenly stop but now my experience with the new iPhone11 in terms of gaming is amazing, the whole game runs smoothly without any frame drop. However, I would not recommend gaming on iPhone11 for a long time because it starts to overheat. Additionally, its iOS 14 update is the best update I have ever seen on any smartphone. One of my favorite features in this update is ‘picture in Picture’ in which I can continue to watch a video or make a FaceTime while we are using another app. Such type of amazing applications help me to provide the best possible performance especially when I use my phone for multitasking.  Apple claims that they had used the toughest glass on the back and in front in iPhone11 and its aluminum case provides extra durability to it. Apart from this it also comes IP68 rating which means it is fit enough to withstand dust, dirt, and is resistant to submersion up to a maximum depth of 1.5m underwater. I had also seen many youtube videos in which people do the toughest test on iPhone11 such as they make it sink in the water for an elongated time and when they take it out it works completely the same as it was before. Such waterproofing makes it possible to take underwater pictures and videos which are pretty amazing.  Iphones are already quite famous for their camera quality but it becomes even better with iPhone11. iPhone11 comes with an amazing dual-camera system which means that now users have a choice to shoot photos or videos in wide and ultra-wide mode. It also comes with stereoscopic depth which allows taking portraits of all the objects. It is one of the major changes that the iPhone has undertaken because, in earlier iPhones, users were able to take a portrait of the human face only. It also comes with night vision mode which helps to capture the photos in dim light places which is a very useful feature for me because as compared to my earlier phone there was no such option to do the same. It can be used for a variety of different hobbies such as if you are a vlogger you can use it to shoot videos in 4k and if you are an amateur photographer you can use it to capture the finest photo which can ever be taken on a smartphone.  Along with that one of the crucial features that I like about the iPhone is its astonishing “continuity feature” that makes it seamless to connect all the Apple devices altogether. for example, through this feature, we can make cellular calls with any of the Apple devices which are connected to your iPhone.As I am also looking forward to buy a Macbook, this feature will help me a lot in completing my college assignments as with the help of this feature I can use my iPhone to scan documents or take a picture and have it appear instantly on my Mac, and Apple continues to add such type of incredible and unique features that can make your work easier.  Being a college student I accept that Rs.72,0000 price tag seemed to be a little steepy but,  my experience with this phone has proven it to be worth the cost. After years of purchasing random phones that promised me to provide the best experience in terms of durability, performance, camera quality it is the iPhone11 which finally delivered such claims. I personally recommend you to buy this complete package of the newest technology presently available.
",Apple iPhone 11
3.0,3,5.0 out of 5 stars,"5.0 out of 5 stars
NICE PRODUCT
","
BEST SELLER SENDING PERFECT PRODUCT
",Apple iPhone 11
4.0,4,5.0 out of 5 stars,"5.0 out of 5 stars
Perfect switch from OnePlus || Original Phone
","
After  5 years of loyalty towards OnePlus and 8years towards Android, Finally moved to an IPhone after all the intense brainstorming and research and the obvious Skepticism around different news floating around questioning its authenticity.For me, the seller was Darshita Electronics (All my 8phones to date has come from this seller and all of them were 100% genuine.About Iphone 11 128GB White, neatly packaged and delivered,To do's to check if the phone is Original,1. Shoot an uninterrupted video of the delivery you receive from the delivery guy and unboxing2. Ensure you capture the entire phone and accessories and point out any damage/defect (if observed)3. Check for the imei number from apple site and imei24 on status of any imei4. Boot the phone and wait for ""Apple logo to load"" setup the face lock - This is a key feature which nobody can copy5. Try locking the phone and unlocking the phone 4-5times using face unlock6. Screen bezels should be uniform from left, Right and bottom sides7. No additional softwares apart from Apple defaultsWhat did I like about this phone?1. Great body and design - Feels and fits perfect in hand (Damn balanced)2. Stellar Camera - Even a Novice would be able to capture great pictures and very easy yet powerful editing features3. Super fluid OS experience - Now I understood what ""Buttery experience meant all these years""4. Battery life is good, Screen-On-Time of ~7hours depending on the usage - I had my Wifi continuously switched on and Bluetoth for ~2hrs - I must say for 3100mah battery it very well optimized compared to 4000mah of other phones5. Wireless charging - (Which might be useful for some people but not me)6. A great deal from Security, Experience, Durability and Hardware Perspective7.  Still providing Charger and Earpods(Wired) - So better go for this compared to Apple online storeWhat is not present but doesn't make difference?1. 90Hz display could have made it amazing but can't expect that from a year-old model and doesnt make difference in india at least2. 5G is not present - So, good to go for 2-3years without updating any further than IOS153. InBox charger could have been 12W(2hr charging time) charger instead of 5W(3.5hr charging time) - OnePlus provide 40min charging4. Super Amoled could have improved the viewing experience but its still fineRecommendation: If can spend up to 55k then just go for it without any hesitation. Better than any 40-50k phone out there. Colors available are also great. I was looking for Mint but didn't get it. Try your luck though. Hope this helped.
",Apple iPhone 11
5.0,5,5.0 out of 5 stars,"5.0 out of 5 stars
Perfect phone
","
If u read the review you will know that there are many bad comments. Am also intrigued by it while buying from Amazon, bought during great india sale with a great value for money. Anyway bought it and very satisfied about it. Don’t always made up your mind from some negative, they might have a complaint but it’s always great to buy products from Amazon.This is my 1st iphone and am very happy about the experience. Used more than a week now, here are my review1. I also got a heating problem but that goes away after insane update2. I have checked the product online and its brand new (i have doubt while opening as there is no seal)3. Have been using androids for more than 10yrs and comparing to that the phone is super smooth. U might get to use at first but everything is very simple and ios 14 update is great.4. The battery drains alot at first and also that goes away with the update. It easily last a day with moderate to heavy usage. But you have to ditch the onboard charger, its 5w and took really long time to charge. Usb cable comes with it so u can use your old charger with 18w,27w,30w. But  recommend you buy original fast apple charger.5. Display is also great. Some people might complain that its LCD but if you are not a tech guru yo will not be able to differentiate with the oled display of the pro & max series. So just go with it.6. Had difficulty to tranfer whatsapp data, but that also solve with use of extra software Dr.Fone(but you have to buy it ₹1500 to ₹2000)7. Phone is a little bit heavy so you have to use a good cover so that it might not fall off and crack. I use Spigen cover and for me its the best.8. Some of the apps i use in android are not there. That you have to compromise. But it comes with alot of useful app tool.9. iCloud only have 5gb storage so backing up in cloud is a problem unless u buy extra space. So that’s the reason am going for 128gb, am not using the iCloud and just use the phone storage10. Speaker sound is superb, but am not impressed with the earpods so am still using my Mi bluetooth headset11. Camera sound is annoying, only silent when phone is silent.12. Lastly, i have a great experience of using the phone so am happy that i snub xiaomi, oneplus and samsung in the price range. But it takes a lot of time jumping from android to ios, so it will always be a personal choice
",Apple iPhone 11
6.0,6,5.0 out of 5 stars,"5.0 out of 5 stars
A detailed review
","
After 3 months of usage, It feels smooth and it’s the first time I’ve used an IOS device. Following are few points describing the product.1) Screen and display:The screen is quite comfortable to look at and the adaptive display works excellent. The transition from one app to another is so smooth and satisfying. The display adapts according to lighting and quite easy on the eyes. There’s blue light filter (true tone) which gives a warm hue to the display. Brightness when set to max is excellent even in day light.Update: The phone is dust proof and waterproof and underwater pictures are phenomenal. No need to worry if you dropped your phone in water.2) Software:Currently on IOS 14, the interface is to a next level. It took few days to adapt according to the interface but now, every app is smooth and easy to use.The face unlock is so accurate as it uses infrared light and smart unlock. That means no one can unlock your phone while you’re asleep so your phone is secure. Also you can unlock your phone even in dim to dark lit rooms or in absolutely no external light. The phone has lot’s of shortcuts making your use super easy and quick. No doubt about the security! Each and every bit of data is safe on your device.3) batteryAs I’m not a heavy gamer, the battery is enough for an entire day or 2 at max. Switching from android to iOS i used battery of 6000mah which still is more than apple’s 3110mah but the ios battery management is really great. You can watch videos at max brightness for quite a long time on this plus if you’re a heavy gamer, you may have to charge the device maybe twice a day. Also the battery optimisation is an excellent feature which saves your device from overcharging.4) cameraWell it’s iphone baby! Camera is excellent and most clear pictures and videos are captured from the camera. A 10/10 for camera and videos. If you’re into making content for YouTube or instagram, this phone’s camera would be perfect. Also the pictures captured are quite vivid.Few cons of the device1) The notch takes up little more space of the screen. I personally don’t find it annoying but few people may.2) Phone may heat a little during charging.3) If you bought this after selling your kidney, you must stay hydrated. Be very careful with your phone as even a little scratch would hurt your heart a lot.
",Apple iPhone 11
7.0,7,5.0 out of 5 stars,"5.0 out of 5 stars
Awesome
","
Good quality
",Apple iPhone 11
8.0,8,5.0 out of 5 stars,"5.0 out of 5 stars
Classic
","
Writing review after 2+years.no issues till now.
",Apple iPhone 11
9.0,9,4.0 out of 5 stars,"4.0 out of 5 stars
Beast with a limp
","
Been almost 10 months I have been using the iPhone 11 128 GB. Apple is known as one of the premium phone manufacturers who do not compromise on quality, user experience and simplicity (company claims). It is certain that the Apple products have a brand appeal in the Indian market. This appeal allows them to charge a surplus from the customers for their products. Opinions differ if this is justified. For me, I like to evaluate the phone’s features with the cost.The build quality And design of this phone is absolutely fantastic! Curves at the right places, the tactile buttons, it just screams premium. When you pick up the phone, you feet the weight. I came into this phone from a Samsung galaxy and the first thing I notice is the disparity in the weight. This is probably due to the LCD screen on the former as compared to OLED in the galaxy series. The screen on Iphone 11is a “Liquid Retina display”; fancy term for a highly polished, well optimised LCD screen. It is a good screen. It is just slightly above 720p resolution but in everyday activities most people won’t notice it. I noticed it. For me, the screen is a major downside of this phone. You are shelling out almost 70000 ₹, the customer deserves at least a 1080p (full HD) screen. Today when most of the “budget” phones come with 1080p screen, the step back by Apple is definitely not appreciated. It is also necessary to mention, I prefer OLED screen over LCD due to their deep blacks and high contrast ratio. But surprisingly, this LCD screen on the iPhone is better than a few OLED screens I compared it to!(albeit comparing at the same resolution)- Xaomi note series, vivo and oppo. Only Samsung screens were ridiculously amazing even in their M series phones.Another positive of iPhone is the amazing battery life. I am a very heavy user with lots of videos, streaming music all the time, Bluetooth on, WiFi on, location on, browsing, multiple calls daily, video conference meetings, push email- official and personal, light browsing on social media sites and a lot of photos/videos. This beast survives the whole day! But the thing that irks me is the puny 5 watt charger in the box. It takes close to 3 h to charge from 10% to 96%! I suggest you buy a 12 watt charger that is sold separately. Apple should have provided a 12 watt charger in the box at the price point.Another frustrating part of the Apple ecosystem is the iCloud storage that essentially is required if you want to back up phone/photos etc. this costs 79₹ for 50GB PER MONTH. Apple pulls you into their ecosystem with their services, which I must say are excellent. The Apple ecosystem is stress free and just seamless. The phrase “it just works” really works here. I have an MacBook Pro and the iPhone works really well with my laptop allowing me to answer calls, messages right from my laptop.The one feature I wasn’t too sure of, which grew on me until the start of pandemic, is the face recognition. It’s safe, secure and absolutely amazing. It works for all authentication requirements of the phone and is beautiful. I understand now the appeal of face recognition and the “soli” chip on the google pixel4. Btw, the pandemic and the accompanying masks have created a hurdle for the face recognition. Today I wonder if the fingerprint would have been better than the fancy face recognition.One of my favourite is the cameras! It’s Apple! They made their name and reputation on cameras. I won’t say too much on this topic as it’s well known. Only google pixel can compete in the photos department but they iPhone is definitely the video kings.Another key area in which Apple has made their name is the security, encryption and privacy policy. This is one of the major reasons for their premium price tags.I give this phone a very enthusiastic 4 stars. I wish they improve the screen at this price point to at least a 1080p and include a respectable charger in the box. I have not talked about the OS as I believe iOS or android is a personal choice and I am reviewing the key features of the iPhone and it’s hardware.
",Apple iPhone 11
