title,rating,body
5.0 out of 5 stars Awesome,5.0 out of 5 stars,Best camera for video and value for money but one disadvantage is even though I have enough storage I need buy iCloud for storage I don’t know what kind of strategy is this and contact history automatically deleted once it reaches 100 calls
4.0 out of 5 stars Best iPhone,4.0 out of 5 stars,Best but worst cable was given
5.0 out of 5 stars Best Budgeted Phone,5.0 out of 5 stars,One best iPhone release from  Just go for it. Camera clarity are up-to mark and also the battery is good for daily usage but not suitable for the game players.
5.0 out of 5 stars iPhone 13,5.0 out of 5 stars,"I've been using the Apple iPhone 13 (Blue) for six months now, and it's been fantastic.. Must buy Highly recommended."
1.0 out of 5 stars Lose your hardearned money,1.0 out of 5 stars,Wrost phoneNo battery backupHighly restriction on using phone and apple say for security purpose
3.0 out of 5 stars Alert slider is lose,3.0 out of 5 stars,Alert slider is lose on my phone …. How did it happened….apple or amazon plz replace my product
4.0 out of 5 stars Better option over iphone 14,4.0 out of 5 stars,"Iphone 13 is as good as iphone 14 , same specifications but different names, but it is not a better phone than iphone 15 😂, some ppl consider camera performance to compare it with iphone 15 , those things are fake 😂"
5.0 out of 5 stars Really nice,5.0 out of 5 stars,Father gift
1.0 out of 5 stars Performance is slow,1.0 out of 5 stars,After 9 months I used this is worest experiencePerformance is poor
5.0 out of 5 stars Dear Apple,5.0 out of 5 stars,My phone was bent for some reason. So kindly infirm check my warrenty period. Get me feedback
5.0 out of 5 stars Awesome,5.0 out of 5 stars,Best camera for video and value for money but one disadvantage is even though I have enough storage I need buy iCloud for storage I don’t know what kind of strategy is this and contact history automatically deleted once it reaches 100 calls
4.0 out of 5 stars Best iPhone,4.0 out of 5 stars,Best but worst cable was given
5.0 out of 5 stars Best Budgeted Phone,5.0 out of 5 stars,One best iPhone release from  Just go for it. Camera clarity are up-to mark and also the battery is good for daily usage but not suitable for the game players.
5.0 out of 5 stars iPhone 13,5.0 out of 5 stars,"I've been using the Apple iPhone 13 (Blue) for six months now, and it's been fantastic.. Must buy Highly recommended."
1.0 out of 5 stars Lose your hardearned money,1.0 out of 5 stars,Wrost phoneNo battery backupHighly restriction on using phone and apple say for security purpose
3.0 out of 5 stars Alert slider is lose,3.0 out of 5 stars,Alert slider is lose on my phone …. How did it happened….apple or amazon plz replace my product
4.0 out of 5 stars Better option over iphone 14,4.0 out of 5 stars,"Iphone 13 is as good as iphone 14 , same specifications but different names, but it is not a better phone than iphone 15 😂, some ppl consider camera performance to compare it with iphone 15 , those things are fake 😂"
5.0 out of 5 stars Really nice,5.0 out of 5 stars,Father gift
1.0 out of 5 stars Performance is slow,1.0 out of 5 stars,After 9 months I used this is worest experiencePerformance is poor
5.0 out of 5 stars Dear Apple,5.0 out of 5 stars,My phone was bent for some reason. So kindly infirm check my warrenty period. Get me feedback
5.0 out of 5 stars Awesome,5.0 out of 5 stars,Best camera for video and value for money but one disadvantage is even though I have enough storage I need buy iCloud for storage I don’t know what kind of strategy is this and contact history automatically deleted once it reaches 100 calls
4.0 out of 5 stars Best iPhone,4.0 out of 5 stars,Best but worst cable was given
5.0 out of 5 stars Best Budgeted Phone,5.0 out of 5 stars,One best iPhone release from  Just go for it. Camera clarity are up-to mark and also the battery is good for daily usage but not suitable for the game players.
5.0 out of 5 stars iPhone 13,5.0 out of 5 stars,"I've been using the Apple iPhone 13 (Blue) for six months now, and it's been fantastic.. Must buy Highly recommended."
1.0 out of 5 stars Lose your hardearned money,1.0 out of 5 stars,Wrost phoneNo battery backupHighly restriction on using phone and apple say for security purpose
3.0 out of 5 stars Alert slider is lose,3.0 out of 5 stars,Alert slider is lose on my phone …. How did it happened….apple or amazon plz replace my product
4.0 out of 5 stars Better option over iphone 14,4.0 out of 5 stars,"Iphone 13 is as good as iphone 14 , same specifications but different names, but it is not a better phone than iphone 15 😂, some ppl consider camera performance to compare it with iphone 15 , those things are fake 😂"
5.0 out of 5 stars Really nice,5.0 out of 5 stars,Father gift
1.0 out of 5 stars Performance is slow,1.0 out of 5 stars,After 9 months I used this is worest experiencePerformance is poor
5.0 out of 5 stars Dear Apple,5.0 out of 5 stars,My phone was bent for some reason. So kindly infirm check my warrenty period. Get me feedback
5.0 out of 5 stars Awesome,5.0 out of 5 stars,Best camera for video and value for money but one disadvantage is even though I have enough storage I need buy iCloud for storage I don’t know what kind of strategy is this and contact history automatically deleted once it reaches 100 calls
4.0 out of 5 stars Best iPhone,4.0 out of 5 stars,Best but worst cable was given
5.0 out of 5 stars Best Budgeted Phone,5.0 out of 5 stars,One best iPhone release from  Just go for it. Camera clarity are up-to mark and also the battery is good for daily usage but not suitable for the game players.
5.0 out of 5 stars iPhone 13,5.0 out of 5 stars,"I've been using the Apple iPhone 13 (Blue) for six months now, and it's been fantastic.. Must buy Highly recommended."
1.0 out of 5 stars Lose your hardearned money,1.0 out of 5 stars,Wrost phoneNo battery backupHighly restriction on using phone and apple say for security purpose
3.0 out of 5 stars Alert slider is lose,3.0 out of 5 stars,Alert slider is lose on my phone …. How did it happened….apple or amazon plz replace my product
4.0 out of 5 stars Better option over iphone 14,4.0 out of 5 stars,"Iphone 13 is as good as iphone 14 , same specifications but different names, but it is not a better phone than iphone 15 😂, some ppl consider camera performance to compare it with iphone 15 , those things are fake 😂"
5.0 out of 5 stars Really nice,5.0 out of 5 stars,Father gift
1.0 out of 5 stars Performance is slow,1.0 out of 5 stars,After 9 months I used this is worest experiencePerformance is poor
5.0 out of 5 stars Dear Apple,5.0 out of 5 stars,My phone was bent for some reason. So kindly infirm check my warrenty period. Get me feedback
5.0 out of 5 stars Awesome,5.0 out of 5 stars,Best camera for video and value for money but one disadvantage is even though I have enough storage I need buy iCloud for storage I don’t know what kind of strategy is this and contact history automatically deleted once it reaches 100 calls
4.0 out of 5 stars Best iPhone,4.0 out of 5 stars,Best but worst cable was given
5.0 out of 5 stars Best Budgeted Phone,5.0 out of 5 stars,One best iPhone release from  Just go for it. Camera clarity are up-to mark and also the battery is good for daily usage but not suitable for the game players.
5.0 out of 5 stars iPhone 13,5.0 out of 5 stars,"I've been using the Apple iPhone 13 (Blue) for six months now, and it's been fantastic.. Must buy Highly recommended."
1.0 out of 5 stars Lose your hardearned money,1.0 out of 5 stars,Wrost phoneNo battery backupHighly restriction on using phone and apple say for security purpose
